;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/04/2017 09:51:32
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Math.c,261 :: 		
0x05C4	0xAE0D      	BTFSS       R13, 7, 0
;__Lib_Math.c,262 :: 		
0x05C6	0x0C00      	RETLW       0
;__Lib_Math.c,264 :: 		
0x05C8	0x1E00      	COMF        R0, 1, 0
;__Lib_Math.c,265 :: 		
0x05CA	0x1E01      	COMF        R1, 1, 0
;__Lib_Math.c,266 :: 		
0x05CC	0x2A00      	INCF        R0, 1, 0
;__Lib_Math.c,267 :: 		
0x05CE	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,268 :: 		
0x05D0	0x2A01      	INCF        R1, 1, 0
;__Lib_Math.c,270 :: 		
0x05D2	0x1E08      	COMF        R8, 1, 0
;__Lib_Math.c,271 :: 		
0x05D4	0x1E09      	COMF        R9, 1, 0
;__Lib_Math.c,272 :: 		
0x05D6	0x2A08      	INCF        R8, 1, 0
;__Lib_Math.c,273 :: 		
0x05D8	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,274 :: 		
0x05DA	0x2A09      	INCF        R9, 1, 0
;__Lib_Math.c,276 :: 		
0x05DC	0x0C00      	RETLW       0
;__Lib_Math.c,278 :: 		
0x05DE	0xAE05      	BTFSS       R5, 7, 0
;__Lib_Math.c,279 :: 		
0x05E0	0xD00D      	BRA         $+28
;__Lib_Math.c,280 :: 		
0x05E2	0xBE01      	BTFSC       R1, 7, 0
;__Lib_Math.c,281 :: 		
0x05E4	0xD007      	BRA         $+16
;__Lib_Math.c,282 :: 		
0x05E6	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,283 :: 		
0x05E8	0x6E09      	MOVWF       R9, 0
;__Lib_Math.c,284 :: 		
0x05EA	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,285 :: 		
0x05EC	0x6E08      	MOVWF       R8, 0
;__Lib_Math.c,286 :: 		
0x05EE	0x6A01      	CLRF        R1, 0
;__Lib_Math.c,287 :: 		
0x05F0	0x6A00      	CLRF        R0, 0
;__Lib_Math.c,288 :: 		
0x05F2	0xD7E8      	BRA         $-46
;__Lib_Math.c,289 :: 		
0x05F4	0x6A01      	CLRF        R1, 0
;__Lib_Math.c,290 :: 		
0x05F6	0x6A00      	CLRF        R0, 0
;__Lib_Math.c,291 :: 		
0x05F8	0x2A00      	INCF        R0, 1, 0
;__Lib_Math.c,292 :: 		
0x05FA	0x0C00      	RETLW       0
;__Lib_Math.c,294 :: 		
0x05FC	0x1E01      	COMF        R1, 1, 0
;__Lib_Math.c,295 :: 		
0x05FE	0x1E00      	COMF        R0, 1, 0
;__Lib_Math.c,296 :: 		
0x0600	0x2A0B      	INCF        R11, 1, 0
;__Lib_Math.c,297 :: 		
0x0602	0xD7DD      	BRA         $-68
;__Lib_Math.c,299 :: 		
0x0604	0x2A08      	INCF        R8, 1, 0
;__Lib_Math.c,300 :: 		
0x0606	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,301 :: 		
0x0608	0x2A09      	INCF        R9, 1, 0
;__Lib_Math.c,302 :: 		
0x060A	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,303 :: 		
0x060C	0x5C08      	SUBWF       R8, 0, 0
;__Lib_Math.c,304 :: 		
0x060E	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_Math.c,305 :: 		
0x0610	0xD7D9      	BRA         $-76
;__Lib_Math.c,306 :: 		
0x0612	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,307 :: 		
0x0614	0x5C09      	SUBWF       R9, 0, 0
;__Lib_Math.c,308 :: 		
0x0616	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_Math.c,309 :: 		
0x0618	0xD7D5      	BRA         $-84
;__Lib_Math.c,310 :: 		
0x061A	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,311 :: 		
0x061C	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,312 :: 		
0x061E	0x2A00      	INCF        R0, 1, 0
;__Lib_Math.c,313 :: 		
0x0620	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,314 :: 		
0x0622	0x2A01      	INCF        R1, 1, 0
;__Lib_Math.c,315 :: 		
0x0624	0xAE01      	BTFSS       R1, 7, 0
;__Lib_Math.c,316 :: 		
0x0626	0xD7CE      	BRA         $-98
;__Lib_Math.c,317 :: 		
0x0628	0x0000      	NOP
;__Lib_Math.c,318 :: 		
0x062A	0x0CFF      	RETLW       255
;__Lib_Math.c,320 :: 		
L_end_Div_16x16_S:
0x062C	0x0012      	RETURN      0
; end of _Div_16x16_S
_IntToStr:
;__Lib_Conversions.c,146 :: 		
;__Lib_Conversions.c,152 :: 		
0x062E	0x6A53      	CLRF        IntToStr_negative_L0 
0x0630	0x6A54      	CLRF        IntToStr_negative_L0+1 
;__Lib_Conversions.c,153 :: 		
0x0632	0xF055C04D  	MOVFF       FARG_IntToStr_input, IntToStr_inword_L0
0x0636	0xF056C04E  	MOVFF       FARG_IntToStr_input+1, IntToStr_inword_L0+1
;__Lib_Conversions.c,154 :: 		
0x063A	0x0E80      	MOVLW       128
0x063C	0x184E      	XORWF       FARG_IntToStr_input+1, 0 
0x063E	0x6E00      	MOVWF       R0 
0x0640	0x0E80      	MOVLW       128
0x0642	0x5C00      	SUBWF       R0, 0 
0x0644	0xE102      	BNZ         L__IntToStr115
0x0646	0x0E00      	MOVLW       0
0x0648	0x5C4D      	SUBWF       FARG_IntToStr_input, 0 
L__IntToStr115:
0x064A	0xE20B      	BC          L_IntToStr23
;__Lib_Conversions.c,155 :: 		
0x064C	0x0E01      	MOVLW       1
0x064E	0x6E53      	MOVWF       IntToStr_negative_L0 
0x0650	0x0E00      	MOVLW       0
0x0652	0x6E54      	MOVWF       IntToStr_negative_L0+1 
;__Lib_Conversions.c,156 :: 		
0x0654	0x504D      	MOVF        FARG_IntToStr_input, 0 
0x0656	0x0800      	SUBLW       0
0x0658	0x6E55      	MOVWF       IntToStr_inword_L0 
0x065A	0xF056C04E  	MOVFF       FARG_IntToStr_input+1, IntToStr_inword_L0+1
0x065E	0x0E00      	MOVLW       0
0x0660	0x5656      	SUBFWB      IntToStr_inword_L0+1, 1 
;__Lib_Conversions.c,157 :: 		
L_IntToStr23:
;__Lib_Conversions.c,158 :: 		
0x0662	0xF057C055  	MOVFF       IntToStr_inword_L0, FARG_WordToStr_input
0x0666	0xF058C056  	MOVFF       IntToStr_inword_L0+1, FARG_WordToStr_input+1
0x066A	0xF059C04F  	MOVFF       FARG_IntToStr_output, FARG_WordToStr_output
0x066E	0xF05AC050  	MOVFF       FARG_IntToStr_output+1, FARG_WordToStr_output+1
0x0672	0xDE7A      	RCALL       _WordToStr
;__Lib_Conversions.c,160 :: 		
0x0674	0x0E06      	MOVLW       6
0x0676	0x6E51      	MOVWF       IntToStr_i_L0 
0x0678	0x0E00      	MOVLW       0
0x067A	0x6E52      	MOVWF       IntToStr_i_L0+1 
;__Lib_Conversions.c,161 :: 		
L_IntToStr24:
0x067C	0x0E00      	MOVLW       0
0x067E	0x6E00      	MOVWF       R0 
0x0680	0x5052      	MOVF        IntToStr_i_L0+1, 0 
0x0682	0x5C00      	SUBWF       R0, 0 
0x0684	0xE102      	BNZ         L__IntToStr116
0x0686	0x5051      	MOVF        IntToStr_i_L0, 0 
0x0688	0x0800      	SUBLW       0
L__IntToStr116:
0x068A	0xE219      	BC          L_IntToStr25
;__Lib_Conversions.c,162 :: 		
0x068C	0x5051      	MOVF        IntToStr_i_L0, 0 
0x068E	0x244F      	ADDWF       FARG_IntToStr_output, 0 
0x0690	0x6EE1      	MOVWF       FSR1L 
0x0692	0x5052      	MOVF        IntToStr_i_L0+1, 0 
0x0694	0x2050      	ADDWFC      FARG_IntToStr_output+1, 0 
0x0696	0x6EE2      	MOVWF       FSR1H 
0x0698	0x0E01      	MOVLW       1
0x069A	0x5C51      	SUBWF       IntToStr_i_L0, 0 
0x069C	0x6E00      	MOVWF       R0 
0x069E	0x0E00      	MOVLW       0
0x06A0	0x5852      	SUBWFB      IntToStr_i_L0+1, 0 
0x06A2	0x6E01      	MOVWF       R1 
0x06A4	0x5000      	MOVF        R0, 0 
0x06A6	0x244F      	ADDWF       FARG_IntToStr_output, 0 
0x06A8	0x6EE9      	MOVWF       FSR0L 
0x06AA	0x5001      	MOVF        R1, 0 
0x06AC	0x2050      	ADDWFC      FARG_IntToStr_output+1, 0 
0x06AE	0x6EEA      	MOVWF       FSR0H 
0x06B0	0xFFE6CFEE  	MOVFF       POSTINC0, POSTINC1
;__Lib_Conversions.c,163 :: 		
0x06B4	0x0E01      	MOVLW       1
0x06B6	0x5E51      	SUBWF       IntToStr_i_L0, 1 
0x06B8	0x0E00      	MOVLW       0
0x06BA	0x5A52      	SUBWFB      IntToStr_i_L0+1, 1 
;__Lib_Conversions.c,164 :: 		
0x06BC	0xD7DF      	BRA         L_IntToStr24
L_IntToStr25:
;__Lib_Conversions.c,165 :: 		
0x06BE	0xFFE1C04F  	MOVFF       FARG_IntToStr_output, FSR1L
0x06C2	0xFFE2C050  	MOVFF       FARG_IntToStr_output+1, FSR1H
0x06C6	0x0E20      	MOVLW       32
0x06C8	0x6EE6      	MOVWF       POSTINC1 
;__Lib_Conversions.c,166 :: 		
0x06CA	0x5053      	MOVF        IntToStr_negative_L0, 0 
0x06CC	0x1054      	IORWF       IntToStr_negative_L0+1, 0 
0x06CE	0xE01A      	BZ          L_IntToStr26
;__Lib_Conversions.c,167 :: 		
0x06D0	0x6A51      	CLRF        IntToStr_i_L0 
0x06D2	0x6A52      	CLRF        IntToStr_i_L0+1 
;__Lib_Conversions.c,168 :: 		
L_IntToStr27:
0x06D4	0x5051      	MOVF        IntToStr_i_L0, 0 
0x06D6	0x244F      	ADDWF       FARG_IntToStr_output, 0 
0x06D8	0x6EE9      	MOVWF       FSR0L 
0x06DA	0x5052      	MOVF        IntToStr_i_L0+1, 0 
0x06DC	0x2050      	ADDWFC      FARG_IntToStr_output+1, 0 
0x06DE	0x6EEA      	MOVWF       FSR0H 
0x06E0	0x50EE      	MOVF        POSTINC0, 0 
0x06E2	0x0A20      	XORLW       32
0x06E4	0xE103      	BNZ         L_IntToStr28
0x06E6	0x4A51      	INFSNZ      IntToStr_i_L0, 1 
0x06E8	0x2A52      	INCF        IntToStr_i_L0+1, 1 
0x06EA	0xD7F4      	BRA         L_IntToStr27
L_IntToStr28:
;__Lib_Conversions.c,169 :: 		
0x06EC	0x0E01      	MOVLW       1
0x06EE	0x5E51      	SUBWF       IntToStr_i_L0, 1 
0x06F0	0x0E00      	MOVLW       0
0x06F2	0x5A52      	SUBWFB      IntToStr_i_L0+1, 1 
;__Lib_Conversions.c,170 :: 		
0x06F4	0x5051      	MOVF        IntToStr_i_L0, 0 
0x06F6	0x244F      	ADDWF       FARG_IntToStr_output, 0 
0x06F8	0x6EE1      	MOVWF       FSR1L 
0x06FA	0x5052      	MOVF        IntToStr_i_L0+1, 0 
0x06FC	0x2050      	ADDWFC      FARG_IntToStr_output+1, 0 
0x06FE	0x6EE2      	MOVWF       FSR1H 
0x0700	0x0E2D      	MOVLW       45
0x0702	0x6EE6      	MOVWF       POSTINC1 
L_IntToStr26:
;__Lib_Conversions.c,171 :: 		
L_end_IntToStr:
0x0704	0x0012      	RETURN      0
; end of _IntToStr
_convertTecla:
;calculadoraLCD.c,144 :: 		int convertTecla (int tecla, KeyType* type)
;calculadoraLCD.c,146 :: 		int result = -1;
0x0706	0x0EFF      	MOVLW       255
0x0708	0x6E51      	MOVWF       convertTecla_result_L0 
0x070A	0x0EFF      	MOVLW       255
0x070C	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,147 :: 		switch(tecla)
0x070E	0xD095      	BRA         L_convertTecla27
;calculadoraLCD.c,149 :: 		case 231:
L_convertTecla29:
;calculadoraLCD.c,150 :: 		*type = ON_CLEAR;
0x0710	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x0714	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0718	0x0E05      	MOVLW       5
0x071A	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,151 :: 		break;
0x071C	0xD0FB      	BRA         L_convertTecla28
;calculadoraLCD.c,153 :: 		case 215:
L_convertTecla30:
;calculadoraLCD.c,154 :: 		*type = NUM;
0x071E	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x0722	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0726	0x0E06      	MOVLW       6
0x0728	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,155 :: 		result = 0;
0x072A	0x6A51      	CLRF        convertTecla_result_L0 
0x072C	0x6A52      	CLRF        convertTecla_result_L0+1 
;calculadoraLCD.c,156 :: 		break;
0x072E	0xD0F2      	BRA         L_convertTecla28
;calculadoraLCD.c,158 :: 		case 183:
L_convertTecla31:
;calculadoraLCD.c,159 :: 		*type = IGUAL;
0x0730	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x0734	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0738	0x6AE6      	CLRF        POSTINC1 
;calculadoraLCD.c,160 :: 		break;
0x073A	0xD0EC      	BRA         L_convertTecla28
;calculadoraLCD.c,162 :: 		case 119:
L_convertTecla32:
;calculadoraLCD.c,163 :: 		*type = SOMA;
0x073C	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x0740	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0744	0x0E01      	MOVLW       1
0x0746	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,164 :: 		break;
0x0748	0xD0E5      	BRA         L_convertTecla28
;calculadoraLCD.c,166 :: 		case 235:
L_convertTecla33:
;calculadoraLCD.c,167 :: 		*type = NUM;
0x074A	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x074E	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0752	0x0E06      	MOVLW       6
0x0754	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,168 :: 		result = 1;
0x0756	0x0E01      	MOVLW       1
0x0758	0x6E51      	MOVWF       convertTecla_result_L0 
0x075A	0x0E00      	MOVLW       0
0x075C	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,169 :: 		break;
0x075E	0xD0DA      	BRA         L_convertTecla28
;calculadoraLCD.c,171 :: 		case 219:
L_convertTecla34:
;calculadoraLCD.c,172 :: 		*type = NUM;
0x0760	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x0764	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0768	0x0E06      	MOVLW       6
0x076A	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,173 :: 		result = 2;
0x076C	0x0E02      	MOVLW       2
0x076E	0x6E51      	MOVWF       convertTecla_result_L0 
0x0770	0x0E00      	MOVLW       0
0x0772	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,174 :: 		break;
0x0774	0xD0CF      	BRA         L_convertTecla28
;calculadoraLCD.c,176 :: 		case 187:
L_convertTecla35:
;calculadoraLCD.c,177 :: 		*type = NUM;
0x0776	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x077A	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x077E	0x0E06      	MOVLW       6
0x0780	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,178 :: 		result = 3;
0x0782	0x0E03      	MOVLW       3
0x0784	0x6E51      	MOVWF       convertTecla_result_L0 
0x0786	0x0E00      	MOVLW       0
0x0788	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,179 :: 		break;
0x078A	0xD0C4      	BRA         L_convertTecla28
;calculadoraLCD.c,181 :: 		case 123:
L_convertTecla36:
;calculadoraLCD.c,182 :: 		*type = SUB;
0x078C	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x0790	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0794	0x0E02      	MOVLW       2
0x0796	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,183 :: 		break;
0x0798	0xD0BD      	BRA         L_convertTecla28
;calculadoraLCD.c,185 :: 		case 237:
L_convertTecla37:
;calculadoraLCD.c,186 :: 		*type = NUM;
0x079A	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x079E	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x07A2	0x0E06      	MOVLW       6
0x07A4	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,187 :: 		result = 4;
0x07A6	0x0E04      	MOVLW       4
0x07A8	0x6E51      	MOVWF       convertTecla_result_L0 
0x07AA	0x0E00      	MOVLW       0
0x07AC	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,188 :: 		break;
0x07AE	0xD0B2      	BRA         L_convertTecla28
;calculadoraLCD.c,190 :: 		case 221:
L_convertTecla38:
;calculadoraLCD.c,191 :: 		*type = NUM;
0x07B0	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x07B4	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x07B8	0x0E06      	MOVLW       6
0x07BA	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,192 :: 		result = 5;
0x07BC	0x0E05      	MOVLW       5
0x07BE	0x6E51      	MOVWF       convertTecla_result_L0 
0x07C0	0x0E00      	MOVLW       0
0x07C2	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,193 :: 		break;
0x07C4	0xD0A7      	BRA         L_convertTecla28
;calculadoraLCD.c,195 :: 		case 189:
L_convertTecla39:
;calculadoraLCD.c,196 :: 		*type = NUM;
0x07C6	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x07CA	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x07CE	0x0E06      	MOVLW       6
0x07D0	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,197 :: 		result = 6;
0x07D2	0x0E06      	MOVLW       6
0x07D4	0x6E51      	MOVWF       convertTecla_result_L0 
0x07D6	0x0E00      	MOVLW       0
0x07D8	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,198 :: 		break;
0x07DA	0xD09C      	BRA         L_convertTecla28
;calculadoraLCD.c,200 :: 		case 125:
L_convertTecla40:
;calculadoraLCD.c,201 :: 		*type = MULT;
0x07DC	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x07E0	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x07E4	0x0E03      	MOVLW       3
0x07E6	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,202 :: 		break;
0x07E8	0xD095      	BRA         L_convertTecla28
;calculadoraLCD.c,204 :: 		case 238:
L_convertTecla41:
;calculadoraLCD.c,205 :: 		*type = NUM;
0x07EA	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x07EE	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x07F2	0x0E06      	MOVLW       6
0x07F4	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,206 :: 		result = 7;
0x07F6	0x0E07      	MOVLW       7
0x07F8	0x6E51      	MOVWF       convertTecla_result_L0 
0x07FA	0x0E00      	MOVLW       0
0x07FC	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,207 :: 		break;
0x07FE	0xD08A      	BRA         L_convertTecla28
;calculadoraLCD.c,209 :: 		case 222:
L_convertTecla42:
;calculadoraLCD.c,210 :: 		*type = NUM;
0x0800	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x0804	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0808	0x0E06      	MOVLW       6
0x080A	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,211 :: 		result = 8;
0x080C	0x0E08      	MOVLW       8
0x080E	0x6E51      	MOVWF       convertTecla_result_L0 
0x0810	0x0E00      	MOVLW       0
0x0812	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,212 :: 		break;
0x0814	0xD07F      	BRA         L_convertTecla28
;calculadoraLCD.c,214 :: 		case 190:
L_convertTecla43:
;calculadoraLCD.c,215 :: 		*type = NUM;
0x0816	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x081A	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x081E	0x0E06      	MOVLW       6
0x0820	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,216 :: 		result = 9;
0x0822	0x0E09      	MOVLW       9
0x0824	0x6E51      	MOVWF       convertTecla_result_L0 
0x0826	0x0E00      	MOVLW       0
0x0828	0x6E52      	MOVWF       convertTecla_result_L0+1 
;calculadoraLCD.c,217 :: 		break;
0x082A	0xD074      	BRA         L_convertTecla28
;calculadoraLCD.c,219 :: 		case 126:
L_convertTecla44:
;calculadoraLCD.c,220 :: 		*type = DIVI;
0x082C	0xFFE1C04F  	MOVFF       FARG_convertTecla_type, FSR1L
0x0830	0xFFE2C050  	MOVFF       FARG_convertTecla_type+1, FSR1H
0x0834	0x0E04      	MOVLW       4
0x0836	0x6EE6      	MOVWF       POSTINC1 
;calculadoraLCD.c,221 :: 		break;
0x0838	0xD06D      	BRA         L_convertTecla28
;calculadoraLCD.c,222 :: 		}
L_convertTecla27:
0x083A	0x0E00      	MOVLW       0
0x083C	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x083E	0xE102      	BNZ         L__convertTecla53
0x0840	0x0EE7      	MOVLW       231
0x0842	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla53:
0x0844	0xB4D8      	BTFSC       STATUS, 2 
0x0846	0xD764      	BRA         L_convertTecla29
0x0848	0x0E00      	MOVLW       0
0x084A	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x084C	0xE102      	BNZ         L__convertTecla54
0x084E	0x0ED7      	MOVLW       215
0x0850	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla54:
0x0852	0xB4D8      	BTFSC       STATUS, 2 
0x0854	0xD764      	BRA         L_convertTecla30
0x0856	0x0E00      	MOVLW       0
0x0858	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x085A	0xE102      	BNZ         L__convertTecla55
0x085C	0x0EB7      	MOVLW       183
0x085E	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla55:
0x0860	0xB4D8      	BTFSC       STATUS, 2 
0x0862	0xD766      	BRA         L_convertTecla31
0x0864	0x0E00      	MOVLW       0
0x0866	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x0868	0xE102      	BNZ         L__convertTecla56
0x086A	0x0E77      	MOVLW       119
0x086C	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla56:
0x086E	0xB4D8      	BTFSC       STATUS, 2 
0x0870	0xD765      	BRA         L_convertTecla32
0x0872	0x0E00      	MOVLW       0
0x0874	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x0876	0xE102      	BNZ         L__convertTecla57
0x0878	0x0EEB      	MOVLW       235
0x087A	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla57:
0x087C	0xB4D8      	BTFSC       STATUS, 2 
0x087E	0xD765      	BRA         L_convertTecla33
0x0880	0x0E00      	MOVLW       0
0x0882	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x0884	0xE102      	BNZ         L__convertTecla58
0x0886	0x0EDB      	MOVLW       219
0x0888	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla58:
0x088A	0xB4D8      	BTFSC       STATUS, 2 
0x088C	0xD769      	BRA         L_convertTecla34
0x088E	0x0E00      	MOVLW       0
0x0890	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x0892	0xE102      	BNZ         L__convertTecla59
0x0894	0x0EBB      	MOVLW       187
0x0896	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla59:
0x0898	0xB4D8      	BTFSC       STATUS, 2 
0x089A	0xD76D      	BRA         L_convertTecla35
0x089C	0x0E00      	MOVLW       0
0x089E	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x08A0	0xE102      	BNZ         L__convertTecla60
0x08A2	0x0E7B      	MOVLW       123
0x08A4	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla60:
0x08A6	0xB4D8      	BTFSC       STATUS, 2 
0x08A8	0xD771      	BRA         L_convertTecla36
0x08AA	0x0E00      	MOVLW       0
0x08AC	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x08AE	0xE102      	BNZ         L__convertTecla61
0x08B0	0x0EED      	MOVLW       237
0x08B2	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla61:
0x08B4	0xB4D8      	BTFSC       STATUS, 2 
0x08B6	0xD771      	BRA         L_convertTecla37
0x08B8	0x0E00      	MOVLW       0
0x08BA	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x08BC	0xE102      	BNZ         L__convertTecla62
0x08BE	0x0EDD      	MOVLW       221
0x08C0	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla62:
0x08C2	0xB4D8      	BTFSC       STATUS, 2 
0x08C4	0xD775      	BRA         L_convertTecla38
0x08C6	0x0E00      	MOVLW       0
0x08C8	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x08CA	0xE102      	BNZ         L__convertTecla63
0x08CC	0x0EBD      	MOVLW       189
0x08CE	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla63:
0x08D0	0xB4D8      	BTFSC       STATUS, 2 
0x08D2	0xD779      	BRA         L_convertTecla39
0x08D4	0x0E00      	MOVLW       0
0x08D6	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x08D8	0xE102      	BNZ         L__convertTecla64
0x08DA	0x0E7D      	MOVLW       125
0x08DC	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla64:
0x08DE	0xB4D8      	BTFSC       STATUS, 2 
0x08E0	0xD77D      	BRA         L_convertTecla40
0x08E2	0x0E00      	MOVLW       0
0x08E4	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x08E6	0xE102      	BNZ         L__convertTecla65
0x08E8	0x0EEE      	MOVLW       238
0x08EA	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla65:
0x08EC	0xB4D8      	BTFSC       STATUS, 2 
0x08EE	0xD77D      	BRA         L_convertTecla41
0x08F0	0x0E00      	MOVLW       0
0x08F2	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x08F4	0xE102      	BNZ         L__convertTecla66
0x08F6	0x0EDE      	MOVLW       222
0x08F8	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla66:
0x08FA	0xE082      	BZ          L_convertTecla42
0x08FC	0x0E00      	MOVLW       0
0x08FE	0x184E      	XORWF       FARG_convertTecla_tecla+1, 0 
0x0900	0xE102      	BNZ         L__convertTecla67
0x0902	0x0EBE      	MOVLW       190
0x0904	0x184D      	XORWF       FARG_convertTecla_tecla, 0 
L__convertTecla67:
0x0906	0xE087      	BZ          L_convertTecla43
0x0908	0x0E00      	MOVLW       0
